place_id,business_name,reviews,rating,category,address,whatsapp_number,website,email
https://www.google.com/maps/place/First+Page+Digital/data=!4m7!3m6!1s0x31da19fd874c7711:0xdcaadc260012a724!8m2!3d1.279183!4d103.8487035!16s%2Fg%2F11gjm7_3km!19sChIJEXdMh_0Z2jERJKcSACbcqtw?authuser=0&hl=en&rclk=1,First Page Digital,4.9,(237),Marketing agency,·,+65 6270 2193,https://www.firstpagedigital.sg/,
https://www.google.com/maps/place/Impossible+Marketing+-+%231+Digital+Marketing+%26+SEO+Agency+in+Singapore/data=!4m7!3m6!1s0x31da0ff7d2c2fc1d:0x75afb96464de1671!8m2!3d1.276499!4d103.842078!16s%2Fg%2F12hp7qrpy!19sChIJHfzC0vcP2jERcRbeZGS5r3U?authuser=0&hl=en&rclk=1,Impossible Marketing - #1 Digital Marketing & SEO Agency in Singapore,5.0,(186),Internet marketing service,14A Yan Kit Rd,+65 6208 8111,https://www.impossible.sg/,hello@impossible.sg
https://www.google.com/maps/place/Nytelock+Digital/data=!4m7!3m6!1s0x31da3d4ca6fcb645:0x251d12027005bb88!8m2!3d1.278472!4d103.8478079!16s%2Fg%2F11qycvk7tq!19sChIJRbb8pkw92jERiLsFcAISHSU?authuser=0&hl=en&rclk=1,Nytelock Digital,5.0,(78),Marketing agency,"160 Robinson Rd, #14-04 SBF Center",+65 8138 8841,https://nytelock.com/,
https://www.google.com/maps/place/OOm+Pte+Ltd/data=!4m7!3m6!1s0x31da19b3e326756d:0x3b9173ac044eefe1!8m2!3d1.3014488!4d103.8372499!16s%2Fg%2F12hldyh01!19sChIJbXUm47MZ2jER4e9OBKxzkTs?authuser=0&hl=en&rclk=1,OOm Pte Ltd,4.8,(293),Internet marketing service,"1 Grange Rd, Level 7 Orchard Building",+65 6391 0930,https://www.oom.com.sg/,enquiry.agency@oom.com.sg; hrtalentteam@oom.com.sg; support@oom.com.sg
https://www.google.com/maps/place/InAwe+Media+-+Digital+Marketing+Agency+%28%E6%95%B0%E5%AD%97%E8%90%A5%E9%94%80%29/data=!4m7!3m6!1s0x31da19a82459a09b:0xb2cea11a899b5616!8m2!3d1.3010543!4d103.835846!16s%2Fg%2F11gmy2304k!19sChIJm6BZJKgZ2jERFlabiRqhzrI?authuser=0&hl=en&rclk=1,InAwe Media - Digital Marketing Agency (数字营销),5.0,(44),Marketing agency,"2 Orchard Link, #04-01",+65 8776 3207,https://www.inawemedia.com/,hello@inawemedia.com
https://www.google.com/maps/place/Brew+Interactive/data=!4m7!3m6!1s0x31da1984423a90d3:0xc8280b34a1e19b22!8m2!3d1.2923192!4d103.8508719!16s%2Fg%2F11g0wgb1vv!19sChIJ05A6QoQZ2jERIpvhoTQLKMg?authuser=0&hl=en&rclk=1,Brew Interactive,4.8,(26),Marketing agency,"111 N Bridge Rd, #08-11",+65 6814 2952,https://brewinteractive.com/,info@brewinteractive.com
https://www.google.com/maps/place/Best+Marketing+Agency+Pte+Ltd/data=!4m7!3m6!1s0x31da1340c18e5d93:0x6cf5ab58aa32865!8m2!3d1.4349016!4d103.7846533!16s%2Fg%2F11fm3v5bcx!19sChIJk12OwUAT2jERZSijirVazwY?authuser=0&hl=en&rclk=1,Best Marketing Agency Pte Ltd,4.8,(53),Internet marketing service,"12 Woodlands Sq, #06-74 Woods Square Tower 1",+65 3138 6331,https://www.bestmarketing.com.sg/,
https://www.google.com/maps/place/Creative+For+More+Singapore/data=!4m7!3m6!1s0x31da192831d3c025:0x246ff5fcc1b23953!8m2!3d1.3065411!4d103.8958982!16s%2Fg%2F11gvq2sdy1!19sChIJJcDTMSgZ2jERUzmywfz1byQ?authuser=0&hl=en&rclk=1,Creative For More Singapore,5.0,(29),Marketing agency,295 Tanjong Katong Rd,,https://creativeformore.com/,
https://www.google.com/maps/place/Next+Level+SG/data=!4m7!3m6!1s0x31da107537590185:0xd14b86cc37f04392!8m2!3d1.3361782!4d103.8864248!16s%2Fg%2F11h555m1r_!19sChIJhQFZN3UQ2jERkkPwN8yGS9E?authuser=0&hl=en&rclk=1,Next Level SG,4.7,(93),Marketing agency,"1 Irving Pl, #08-01 The Commerze@Irving",+65 8376 5715,https://www.nextlevel.sg/,
https://www.google.com/maps/place/Absolute+Digital/data=!4m7!3m6!1s0x31da17845a4b1209:0x484f3c0ec59b5eec!8m2!3d1.2954409!4d103.8584778!16s%2Fg%2F11jdtsf5qs!19sChIJCRJLWoQX2jER7F6bxQ48T0g?authuser=0&hl=en&rclk=1,Absolute Digital,5.0,(65),Marketing agency,"7 Temasek Boulevard, Suntec Tower One",,http://www.absolutedigital.sg/,hello@absolutedigital.sg
