place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email
https://www.google.com/maps/place/Social+Media+55/data=!4m7!3m6!1s0x882b3507aa8f7447:0xd60b7147f29282ee!8m2!3d43.648528!4d-79.3833359!16s%2Fg%2F11h3ftw9fp!19sChIJR3SPqgc1K4gR7oKS8kdxC9Y?authuser=0&hl=en&rclk=1,Social Media 55,4.9,(67),Marketing agency,130 King St W Suite 1900,+1 844-633-4255,https://socialmedia55.com/,info@socialmedia55.com
https://www.google.com/maps/place/Major+Tom/data=!4m7!3m6!1s0x548673d6f41f2ff7:0x8fdd1de2c47a86c7!8m2!3d49.276281!4d-123.1211414!16s%2Fg%2F1tj9bprk!19sChIJ9y8f9NZzhlQRx4Z6xOId3Y8?authuser=0&hl=en&rclk=1,Major Tom,4.7,(53),Marketing agency,·,+1 604-642-6765,https://www.majortom.com/,ny@majortom.com; to@majortom.com; van@majortom.com
https://www.google.com/maps/place/Ignite+Digital/data=!4m7!3m6!1s0x882b473cafcd38d5:0xbf9304ca311f3e2!8m2!3d43.6029195!4d-79.7332782!16s%2Fg%2F11c6f205nl!19sChIJ1TjNrzxHK4gR4vMRo0ww-Qs?authuser=0&hl=en&rclk=1,Ignite Digital,4.8,(121),Internet marketing service,·,+1 800-831-6998,https://ignitedigital.com/,
https://www.google.com/maps/place/Canada+Create+Web+and+SEO+Marketing+Agency/data=!4m7!3m6!1s0x882b2d42d773b6d9:0xbadba6ee6f2390d4!8m2!3d43.7650899!4d-79.4004637!16s%2Fg%2F1tgdts62!19sChIJ2bZz10ItK4gR1JAjb-6m27o?authuser=0&hl=en&rclk=1,Canada Create Web and SEO Marketing Agency,4.8,(92),Internet marketing service,126 Willowdale Ave Suite #3,+1 416-273-9030,https://canadacreate.com/,info@canadacreate.com
https://www.google.com/maps/place/Authentic+Agency/data=!4m7!3m6!1s0x4cc91bbaccfa6a69:0x7f0db07ee9f6ed39!8m2!3d45.4789763!4d-73.5730164!16s%2Fg%2F11fy1rd2n4!19sChIJaWr6zLobyUwROe326X6wDX8?authuser=0&hl=en&rclk=1,Authentic Agency,4.8,(46),Marketing agency,2727 Saint-Patrick St. #109,+1 438-795-0055,http://www.authenticagency.ca/,
https://www.google.com/maps/place/Archive+Digital/data=!4m7!3m6!1s0x548673c7f0087b67:0x19f471b8ddc7447b!8m2!3d49.28752!4d-123.1138675!16s%2Fg%2F11bwh5x3xq!19sChIJZ3sI8MdzhlQRe0TH3bhx9Bk?authuser=0&hl=en&rclk=1,Archive Digital,4.7,(17),Marketing agency,999 Canada Pl,+1 604-493-2002,http://archivedigital.com/,hello@archivedigital.com
https://www.google.com/maps/place/Brand+%26+Mortar/data=!4m7!3m6!1s0x882b35014f147cf9:0x6f36860be0ebd19a!8m2!3d43.6702075!4d-79.4488657!16s%2Fg%2F11b621199b!19sChIJ-XwUTwE1K4gRmtHr4AuGNm8?authuser=0&hl=en&rclk=1,Brand & Mortar,4.7,(73),Marketing agency,31 Powerhouse St suite 203,+1 416-729-1154,https://www.brandandmortar.com/,
https://www.google.com/maps/place/Web+Lankan/data=!4m7!3m6!1s0x3ae25a628246635f:0x74f90c5c3bdf81b7!8m2!3d6.8560924!4d79.9040473!16s%2Fg%2F11b5wlnkfz!19sChIJX2NGgmJa4joRt4HfO1wM-XQ?authuser=0&hl=en&rclk=1,Web Lankan,4.5,(90),Marketing agency,·,077 884 5600,https://www.weblankan.com/,
https://www.google.com/maps/place/dNOVO+-+Digital+Marketing+%26+SEO+Agency/data=!4m7!3m6!1s0x882b35614032b13d:0xae53f7d7590d9e45!8m2!3d43.6720647!4d-79.3914176!16s%2Fg%2F11j1spqyx2!19sChIJPbEyQGE1K4gRRZ4NWdf3U64?authuser=0&hl=en&rclk=1,dNOVO - Digital Marketing & SEO Agency,5.0,(182),Internet marketing service,·,+1 416-912-1101,https://dnovogroup.com/?utm_source=google&utm_medium=gmb&utm_campaign=82-scollard,
https://www.google.com/maps/place/HypeDeck+Digital+%28Pvt%29+Ltd./data=!4m7!3m6!1s0x3ae25bf8e0d39a99:0xc426ee83349d26ba!8m2!3d6.8653439!4d79.8952838!16s%2Fg%2F11nl74bfy5!19sChIJmZrT4Phb4joRuiadNIPuJsQ?authuser=0&hl=en&rclk=1,HypeDeck Digital (Pvt) Ltd.,5.0,(42),Marketing agency,"203, Building, 292 High Level Rd",077 690 2448,https://hypedeckdigital.com/,
