place_id,business_name,rating,reviews,category,address,whatsapp_number,website,email,email_primary,instagram,twitter,linkedin_company,linkedin_ceo,linkedin_founder,phone_primary,contact_page_found,social_media_score
,,,,,,,,,,,,,,,,No,0
,,,,,,,,,,,,,,,,No,0
https://www.google.com/maps/place/Parker+%26+Sons/data=!4m7!3m6!1s0x872b0faad068d687:0xcb13480c28213ccd!8m2!3d33.4139155!4d-112.0022947!16s%2Fg%2F1td4_9w8!19sChIJh9Zo0KoPK4cRzTwhKAxIE8s?authuser=0&hl=en&rclk=1,Parker & Sons,4.7,"(31,642)",HVAC contractor,·,+1 602-424-9619; 0518198; 07454848; 1102214; 1283330; 1721831212127; 1721831330955; 1721831337015; 1721831347624; 1721831381206; 1721831388254; 1721831394537; 1736870204794; 1749755466169; 1759174919106; 1768964224244; 17728722; 195478861; 2820825; 3082111; 45247759; 46439921; 4924775; 602 344-9027; 602-344-9027; 6023449027; 6977538; 7412374; 8529849069; 9891046,https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,,,,https://x.com/ParkerandSons/,,,,+1 602-424-9619,Yes,3
"https://www.google.com/maps/place/Day+%26+Night+Air+Conditioning,+Heating,+%26+Plumbing/data=!4m7!3m6!1s0x872b0d778d2ea099:0x6cbc97b43bd00584!8m2!3d33.3966358!4d-112.0011526!16s%2Fg%2F1th1d5fw!19sChIJmaAujXcNK4cRhAXQO7SXvGw?authuser=0&hl=en&rclk=1","Day & Night Air Conditioning, Heating, & Plumbing",4.9,"(8,973)",HVAC contractor,·,+1 602-584-7758; 0031712; 033359155; 0385326; 045445818287; 0864230; 0992300; 1120011526; 1192055; 1419295; 14539989; 1503650030; 15687903; 2019-09-03; 2021-06-03; 2025-10-24; 2026-01-05; 2026-01-15; 2290009815; 2424053; 24631422; 2583855; 2821243; 30234263; 333966358; 3573010501; 3593736; 375866928; 4217462604; 4613789749; 47903125; 49031428; 492084144; 51449349; 543162339; 602 492-9656; 6024929656; 6301547651; 6747101; 6778891; 6887090; 7219421; 7318601293922; 73773115; 7767608; 77777777779; 7907664; 8816044; 8817385; 9481713; 9697191; 97037189; 98587111,https://www.dayandnightair.com/?utm_source=gmb&utm_medium=local&utm_campaign=phoenix-az,,,https://www.instagram.com/dayandnightair/,,https://www.linkedin.com/company/day-/,,,+1 602-584-7758,Yes,4
https://www.google.com/maps/place/Desert+Diamond+Air+Cooling+%26+Heating/data=!4m7!3m6!1s0x872b719aaaaaaaab:0x4c9be99024345fb0!8m2!3d33.6365284!4d-112.1117547!16s%2Fg%2F1260dl0j4!19sChIJq6qqqppxK4cRsF80JJDpm0w?authuser=0&hl=en&rclk=1,Desert Diamond Air Cooling & Heating,4.9,"(2,352)",HVAC contractor,·,+1 623-246-2377; +1-602-362-4599; 1-602-362-4599; 1569433909; 1704828121; 1741872738; 1748443313; 1754316967; 1754331349; 1764951023; 1764951055; 1764959606; 1764959611; 1767991355; 1767991669; 1768254199; 1768377950; 1768378359; 1768386163; 1768401233; 19764047; 2018-01-08; 2024-02-07; 2024-03-05; 2024-11-08; 2025-09-25; 2705697; 602-362-4599; 6933257; 84023057; 85023 12630,https://desertdiamondhvac.com/residential/air-conditioning-repair/?utm_source=google&utm_medium=gmb&utm_campaign=phoenix&se_campaign=Google%20My%20Business%20-%20Clicked%20to%20Website,,,https://www.instagram.com/desertdiamondhvacaz/,https://x.com/DesertDiamond3/,,,,+1 623-246-2377,Yes,3
https://www.google.com/maps/place/1st+Choice+Mechanical+AC+Repair/data=!4m7!3m6!1s0x872b5d6405a2a34d:0x302f10671a9f56c8!8m2!3d33.6970023!4d-112.0961512!16s%2Fg%2F11h35pr8b1!19sChIJTaOiBWRdK4cRyFafGmcQLzA?authuser=0&hl=en&rclk=1,1st Choice Mechanical AC Repair,4.9,"(1,045)",HVAC contractor,23309 N 17th Dr STE 116,+1 623-292-3697; 1126-1000062491; 151259401; 1512594011; 1512594012; 1512594013; 1512594014; 1512594015; 1512594016; 16678664; 1768985928; 1768985929; 1768985930; 1768985967; 1768986003; 1768986340; 1768986379; 1768986423; 1768986448; 1769028979; 1769039810; 1769039813; 1769040660; 1999999999; 2022-12-05; 2024-10-04; 2024-10-17; 2025-08-28; 2025-10-02; 2026-01-20; 20623-323-1021; 3290420; 3668361; 3753087; 411389269; 49685480; 5288992; 5575237; 623-220-4376; 623-220-4736; 623-323-1021; 623-462-1892; 6232204376; 6479770; 663384902; 6842566; 7629183; 7898076; 811653560977417; 9040909; 90427281; 9594520-1,https://1stchoicemechanicalaz.com/heating-service-phoenix-az/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,https://www.instagram.com/1stchoicemechanicalaz/,,,,,+1 623-292-3697,Yes,3
https://www.google.com/maps/place/Goettl+Air+Conditioning+and+Plumbing+-+Phoenix+AZ/data=!4m7!3m6!1s0x872b0eda558e699b:0x6f5c74b4d9c46d5f!8m2!3d33.3775441!4d-111.9836418!16s%2Fg%2F1tdcxk7x!19sChIJm2mOVdoOK4cRX23E2bR0XG8?authuser=0&hl=en&rclk=1,Goettl Air Conditioning and Plumbing - Phoenix AZ,4.7,"(13,167)",HVAC contractor,·,+1 602-517-0039,https://www.goettl.com/location/phoenix-arizona/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,,,,,,,+1 602-517-0039,Yes,0
https://www.google.com/maps/place/Benefit+Air+Conditioning/data=!4m7!3m6!1s0x872b0c3eea73a24f:0xd2c6a53eb2bda99c!8m2!3d33.494684!4d-112.089865!16s%2Fg%2F1hc3jvz4d!19sChIJT6Jz6j4MK4cRnKm9sj6lxtI?authuser=0&hl=en&rclk=1,Benefit Air Conditioning,4.9,(679),HVAC contractor,1315 W Indian School Rd,+1 602-840-9229; 0024112682; 16 2025 00; 1613504525; 34200-9535; 602 840-1971; 602 840-9229; 602840-9229; 6028409229; 6053992; 6054108315; 6059548; 762546205,http://www.benefitair.com/,anthony@benefitair.com; info@benefitair.com; mike@benefitair.com,info@benefitair.com,,,,,,+1 602-840-9229,Yes,1
"https://www.google.com/maps/place/Penguin+Air,+Plumbing+%26+Electrical/data=!4m7!3m6!1s0x872b0ee0168c3a39:0xbf0da35d2895aa6!8m2!3d33.4223899!4d-112.0015335!16s%2Fg%2F1232fs58h!19sChIJOTqMFuAOK4cRplqJ0jXa8As?authuser=0&hl=en&rclk=1","Penguin Air, Plumbing & Electrical",4.7,"(6,059)",HVAC contractor,·,+1 480-525-5400,https://www.penguinair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Phoenix-AZ,,,,,,,,+1 480-525-5400,Yes,0
https://www.google.com/maps/place/George+Brazil+Air+Conditioning+%26+Heating/data=!4m7!3m6!1s0x872b0e47f07a5715:0x26794037b5277007!8m2!3d33.4217999!4d-112.0232358!16s%2Fg%2F11bcdhszj5!19sChIJFVd68EcOK4cRB3AntTdAeSY?authuser=0&hl=en&rclk=1,George Brazil Air Conditioning & Heating,4.7,"(4,783)",HVAC contractor,·,+1 602-649-1374; +16028420009; 100048941625036; 102324-220301; 1126-93000132; 12345679832622; 1756837352; 1766507943; 1766808979; 1768140972; 1768150707; 1768815411; 1769043498; 2025-03-13; 2025-08-09; 26794037; 4266910; 52009084; 5277007; 602 842-0009; 6028420009; 810816640,https://georgebrazilhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website,,,https://www.instagram.com/georgebrazilhvac/,https://x.com/georgebrazilphx/,,,,+16028420009,No,4
