place_id,business_name,rating,reviews,category,W4Efsd (2),doJOZc,address,W4Efsd (4),W4Efsd (5),W4Efsd (6),W4Efsd (7),whatsapp_number,website,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),Jn12ke src,ah5Ghc,ah5Ghc (2),ah5Ghc (3),e4rVHe,M4A5Cf
"https://www.google.com/maps/place/SupportSoft+Technologies+-+App+Developer+Sydney,+App+Development+Agency+Sydney/data=!4m7!3m6!1s0x6b12a3c76ca6a683:0x2a4781fe4a94f588!8m2!3d-33.8197821!4d151.0250424!16s%2Fg%2F11qgb_jt95!19sChIJg6ambMejEmsRiPWUSv6BRyo?authuser=0&hl=en&rclk=1","SupportSoft Technologies - App Developer Sydney, App Development Agency Sydney",4.8,(54),Software company,·,,·,"Suite 2D, Level 2/1C Grand Ave",Closes soon,· 6 PM · Opens 9 AM Wed,·,+61 1300 921 064,https://supportsoft.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""We could not recommend them enough for",software,"development and design.""",,
"https://www.google.com/maps/place/DxMinds+Technologies+-+Mobile+App+Development+Company+in+Kiama,+New+South+Wales,+Australia/data=!4m7!3m6!1s0x6b136d2f66ad10dd:0x19ea463f8288a8ca!8m2!3d-34.644524!4d150.851918!16s%2Fg%2F11fmd9p8vs!19sChIJ3RCtZi9tE2sRyqiIgj9G6hk?authuser=0&hl=en&rclk=1","DxMinds Technologies - Mobile App Development Company in Kiama, New South Wales, Australia",,,Software company,·,,5A The Cct,·,Open,· Closes 7 PM,,+61 434 360 006,https://dxminds.com/top-mobile-app-development-company-in-australia/,,Website,,Directions,,,,,No reviews,
https://www.google.com/maps/place/Software+House/data=!4m7!3m6!1s0x6b1299af0cc15d81:0x35d059d3bf356782!8m2!3d-33.7727476!4d150.9077911!16s%2Fg%2F11vy_x8h1f!19sChIJgV3BDK-ZEmsRgmc1v9NZ0DU?authuser=0&hl=en&rclk=1,Software House,5.0,(11),Software company,·,,81 Flushcombe Rd,·,Closed,· Opens 9 AM Wed,,+61 2 8005 0618,https://softwarehouse.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Highly recommended for anyone looking for reliable",software,"development!""",,
https://www.google.com/maps/place/Intuition+SofTech+Australia/data=!4m7!3m6!1s0x6b12ae3b8f818cf1:0x9aaa7b45af72607c!8m2!3d-33.8651342!4d151.2021367!16s%2Fg%2F11c45374d9!19sChIJ8YyBjzuuEmsRfGByr0V7qpo?authuser=0&hl=en&rclk=1,Intuition SofTech Australia,4.9,(34),Software company,·,,"Level 17, International Tower 3/300 Barangaroo Ave",·,Closes soon,· 6 PM · Opens 9 AM Wed,,+61 2 9159 3911,https://www.intuitionsoftech.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Been using their service for 2 years now.""",,,,
https://www.google.com/maps/place/Software+Co/data=!4m7!3m6!1s0x6b12afc91aaa3131:0xc07aea7a856250b4!8m2!3d-33.8651342!4d151.2021367!16s%2Fg%2F11hzt9g5v0!19sChIJMTGqGsmvEmsRtFBihXrqesA?authuser=0&hl=en&rclk=1,Software Co,5.0,(4),Software company,·,,300 Barangaroo Ave,·,Open,· Closes 8 PM,,+61 1300 585 888,https://www.softwareco.com/,,Website,,Directions,,On-site services,,,,
https://www.google.com/maps/place/Streamtime+Software/data=!4m7!3m6!1s0x6b12ae49ba05d36d:0xa389f4a56d4d6161!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F11b7gnw16s!19sChIJbdMFukmuEmsRYWFNbaX0iaM?authuser=0&hl=en&rclk=1,Streamtime Software,5.0,(28),Software company,,,,,Closed,· Opens 8:30 AM Wed,,,https://streamtime.net/cliff-notes,,Website,,Directions,,,,,,
https://www.google.com/maps/place/SoftwareSeni/data=!4m7!3m6!1s0x6b12affb9fc63f77:0x69b605508506ddea!8m2!3d-33.8723422!4d151.1946724!16s%2Fg%2F11jdvcgsv_!19sChIJdz_Gn_uvEmsR6t0GhVAFtmk?authuser=0&hl=en&rclk=1,SoftwareSeni,5.0,(25),Software company,·,,55 Pyrmont Bridge Rd,·,Closed,· Opens 9 AM Wed,,+61 2 8123 0997,https://www.softwareseni.com/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""They have the knowledge and skillset to deliver impactful work.""",,,,
https://www.google.com/maps/place/IT+Alliance+Australia/data=!4m7!3m6!1s0x6b12ae40092c3efb:0x1757f92319b3f3c4!8m2!3d-33.8684865!4d151.2093042!16s%2Fg%2F11hbkqwwcc!19sChIJ-z4sCUCuEmsRxPOzGSP5Vxc?authuser=0&hl=en&rclk=1,IT Alliance Australia,4.9,(16),Software company,·,,·,57/19 Martin Pl,,,,+61 433 029 389,https://www.italliance.com.au/,,Website,,Directions,,,,,,
https://www.google.com/maps/place/Appello+Software+%26+App+Development/data=!4m7!3m6!1s0x6b12afcffce6a0bf:0xe90c247c10de3db1!8m2!3d-33.8668138!4d151.2068747!16s%2Fg%2F11j13t97x0!19sChIJv6Dm_M-vEmsRsT3eEHwkDOk?authuser=0&hl=en&rclk=1,Appello Software & App Development,5.0,(18),Software company,·,,·,333 George St,Open,· Closes 8 PM,·,+61 2 7202 5164,https://appello.com.au/,,Website,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""They kept us updated throughout the project and delivered on time.""",,,,
https://www.google.com/maps/place/Maus+Software/data=!4m7!3m6!1s0x6b12aa46867f4737:0xc605cf965796b649!8m2!3d14.1576412!4d-96.0622118!16s%2Fg%2F11bbr9j1zy!19sChIJN0d_hkaqEmsRSbaWV5bPBcY?authuser=0&hl=en&rclk=1,Maus Software,5.0,(23),Software company,,,,,,,,+61 2 9907 1669,http://www.maus.com/,,Website,,Directions,,,,,,
