place_id,business_name,address,phone_raw,whatsapp_number,email,website,rating,review_count,category,lead_quality,scraped_date
ChIJb7S-rw5b4joRWouRQ6PE-Qw,Ladder Global,"435, 15a Longdon Hill, Colombo 00500, Sri Lanka",077 712 2299,94777122299,,https://ladderglobal.com/,5,54,OTHER,HOT,2025-09-29 02:07:39
ChIJO-IZHy9R4joRqFRc2hyrezw,HypeX Digital Marketing Agency,"16/1/C Kotte Road, Lane, Sri Jayawardenepura Kotte 00800, Sri Lanka",0113 487 300,,hello@hypesrilanka.com,https://www.hypesrilanka.com/,5,48,HIGH_VALUE,HOT,2025-09-29 02:07:45
ChIJQZkNAVVZ4joRC-cOSswxtY8,Digital Nomad Ventures Pvt Ltd | SEO | Digital Marketing Agency,"Railway Ground, Baseline Rd, Colombo 00900, Sri Lanka",077 569 6867,94775696867,krish@digitalnomadventures.com,https://digitalnomadventures.com/,5,49,HIGH_VALUE,HOT,2025-09-29 02:07:47
ChIJxRRQUH5b4joRQL5UrXV2V1E,"SAMSUL Digital Marketing Agency, SEO & Website Designing","SAMSUL Digital Marketing Agency & Website Designing, 32 Flower Rd, Colombo 00700, Sri Lanka",077 717 9701,94777179701,,https://samsul.lk/,5,22,HIGH_VALUE,HOT,2025-09-29 02:07:49
ChIJM7kU_TRb4joR-YHrZtoeUp8,Mavas - Digital Marketing,"201 A Havelock Rd, Colombo 00600, Sri Lanka",077 237 7301,94772377301,hello@mavasdigital.com,https://mavasdigital.com/,5,39,HIGH_VALUE,HOT,2025-09-29 02:08:09
ChIJwTHk1e9X4joRDMQwRwKQDWg,Revo Revolution Advertising Agency,"174 Kaduwela Rd, Battaramulla 10120, Sri Lanka",071 541 8199,94715418199,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.revo.lk/,5,108,HIGH_VALUE,HOT,2025-09-29 02:08:10
ChIJS4pKADVZ4joRPGePaQQK-Q0,CB LAW CHAMBERS,"30, 24A Longdon Pl, Colombo 00700, Sri Lanka",077 227 0261,94772270261,cblawchambers1@gmail.com,https://cblawchambers.com/,5,50,HIGH_VALUE,HOT,2025-09-29 02:08:19
ChIJCU6kPFpZ4joRcRzbP3EsHp4,Ramyard Law Chambers (Lawyers and Advocates),"47 1/6 Belmont St, Colombo 01200, Sri Lanka",077 131 8773,94771318773,,,5,12,HIGH_VALUE,HOT,2025-09-29 02:08:20
ChIJU0pnhLte4U8R0PhZNb040h0,D & N Partners,"No. 426/16, 1 Field Ave, Nugegoda 10250, Sri Lanka",077 667 6554,94776676554,,,5,79,HIGH_VALUE,HOT,2025-09-29 02:08:24
ChIJk6clqpZZ4joR8Rf2Ian6JF0,KNJ Associates,"World Trade Center, Bank of Ceylon Mawatha, Colombo 00100, Sri Lanka",077 791 5433,94777915433,info@mysite.com,http://knjassociatessl.com/,5,10,OTHER,HOT,2025-09-29 02:08:26
ChIJBdKc47hZ4joRCt1dxxkTOgo,EKARATNE ASSOCIATES,"905, Level 9, Shangri-La, Colombo 00200, Sri Lanka",077 301 1488,94773011488,info@ekaratneassociates.com,http://www.ekaratneassociates.com/,5,11,OTHER,HOT,2025-09-29 02:08:30
ChIJa1EEFbeR0S0R7ESFZYo-pj8,"Sabith Mazahir - Attorney at Law, Notary Public & Commissioner for Oaths","63 Wijayamangalarama Rd, Colombo 10250, Sri Lanka",077 128 9558,94771289558,,,5,8,HIGH_VALUE,HOT,2025-09-29 02:08:30
ChIJX-_8wV_OOAsR6pJB_qK5xqU,AccSense Chartered Accountants,"No: 151-1/1 Kirulapone Ave, Colombo 00500, Sri Lanka",0114 541 100,,consult@accsense.lk,https://accsense.lk/,5,46,HIGH_VALUE,HOT,2025-09-29 02:08:45
ChIJkWj1r3hb4joRQAMT6c_31gM,AY Associates -Chartered Accountants,"95 Havelock Rd, Colombo 00500, Sri Lanka",076 258 3490,94762583490,,,5,5,HIGH_VALUE,HOT,2025-09-29 02:08:48
